iter	Passed	Remaining
0	78	7739
1	88	4314
2	99	3206
3	110	2645
4	120	2282
5	130	2051
6	141	1883
7	151	1745
8	161	1637
9	172	1549
10	182	1472
11	192	1408
12	201	1351
13	212	1304
14	222	1261
15	232	1218
16	241	1180
17	251	1145
18	262	1118
19	272	1088
20	281	1059
21	291	1034
22	301	1010
23	311	986
24	321	964
25	331	943
26	340	921
27	350	901
28	360	881
29	369	863
30	379	844
31	389	827
32	398	809
33	408	792
34	418	776
35	427	759
36	436	742
37	445	727
38	455	712
39	465	697
40	474	683
41	484	669
42	494	655
43	501	637
44	510	624
45	518	608
46	528	595
47	537	582
48	544	566
49	551	551
50	561	539
51	568	525
52	576	511
53	583	497
54	591	483
55	599	470
56	607	458
57	615	445
58	623	432
59	630	420
60	638	408
61	645	395
62	654	384
63	661	372
64	669	360
65	677	348
66	685	337
67	692	325
68	700	314
69	708	303
70	716	292
71	724	281
72	732	270
73	740	260
74	747	249
75	755	238
76	763	228
77	771	217
78	779	207
79	787	196
80	794	186
81	802	176
82	810	165
83	818	155
84	825	145
85	833	135
86	840	125
87	848	115
88	856	105
89	863	95
90	871	86
91	880	76
92	887	66
93	895	57
94	903	47
95	910	37
96	918	28
97	925	18
98	932	9
99	940	0
